uid,CC,ADV,CSD,CE,AIH,RMV,BCT,SMA,DL,CA,RS,CSS
2021300000,True,False,True,False,True,True,True,False,True,True,True,True
2021300001,False,False,False,False,True,True,True,True,True,True,False,False
2021300002,True,False,False,True,True,True,True,True,True,False,False,True
2021300003,True,True,True,False,True,False,False,True,True,False,True,True
2021300004,False,False,False,True,False,False,True,False,True,False,True,True
2021300005,False,True,True,True,True,True,False,False,True,True,True,False
2021300006,False,True,True,True,True,True,True,True,False,True,True,False
2021300007,True,True,True,True,True,False,False,True,False,False,True,True
2021300008,True,True,False,False,True,False,False,True,False,True,True,True
2021300009,True,False,True,False,True,True,False,True,True,True,True,True
2021300010,True,True,True,False,True,True,True,True,False,False,False,True
2021300011,True,True,True,False,False,True,False,False,False,True,False,True
2021300012,False,False,False,True,True,True,False,False,False,True,True,False
2021300013,True,False,True,True,False,True,True,True,True,True,False,True
2021300014,False,False,False,False,True,True,False,True,False,False,False,True
2021300015,True,False,False,False,False,False,True,True,False,False,False,True
2021300016,True,True,True,True,False,True,True,True,False,False,False,False
2021300017,True,True,True,True,True,False,True,False,True,False,False,False
2021300018,True,True,False,False,True,False,True,False,True,True,True,True
2021300019,True,False,True,True,True,True,True,False,False,False,True,False
2021300020,False,True,False,True,False,False,True,False,False,True,True,True
2021300021,True,True,True,False,True,False,True,True,True,False,True,False
2021300022,True,False,True,False,False,False,False,False,True,False,False,True
2021300023,True,True,False,True,True,False,False,False,True,False,False,True
2021300024,True,True,True,True,False,True,True,False,False,True,True,False
2021300025,True,True,False,False,False,True,True,True,False,False,True,True
2021300026,False,True,True,True,False,True,False,False,True,True,False,True
2021300027,True,True,False,True,False,True,False,False,True,False,False,False
2021300028,True,True,False,False,False,True,True,False,True,True,True,True
2021300029,False,True,False,False,True,False,True,False,True,True,False,True
2021300030,False,False,True,True,False,False,False,True,False,True,True,True
2021300031,True,True,True,True,True,False,True,False,False,True,True,False
2021300032,False,False,True,True,True,False,False,True,True,False,True,True
2021300033,False,False,True,False,True,True,True,False,True,True,True,True
2021300034,True,True,True,True,True,False,True,False,True,True,True,True
2021300035,False,True,False,True,True,False,True,True,True,True,True,True
2021300036,True,True,False,False,True,True,True,True,True,True,False,True
2021300037,False,True,False,True,True,False,False,True,False,True,True,False
2021300038,False,True,False,True,True,True,False,True,True,True,True,False
2021300039,True,False,False,True,True,True,True,True,True,True,True,False
2021300040,False,True,False,False,False,False,False,True,False,True,True,False
2021300041,False,True,True,False,True,True,False,True,False,False,True,True
2021300042,True,True,True,False,False,True,True,True,False,False,True,False
2021300043,True,False,True,False,True,False,True,False,False,True,False,False
2021300044,True,True,True,True,True,False,True,False,False,True,False,False
2021300045,True,False,False,True,False,False,False,True,False,False,True,False
2021300046,True,False,True,False,True,True,True,True,True,True,True,True
